Producto Maestro (Nombre),Unidad de Medida,Ejemplo Item Completo
"FILM PROTECTOR TPU","", "FILM PROTECTOR TPU"
"FILM LOCALIZADOR TPU","", "FILM LOCALIZADOR TPU 787"
"MEDIA ANTIDESLIZANTE NEGRA","", "MEDIA ANTIDESLIZANTE NEGRA"
"MEDIA ANTIDESLIZANTE","", "MEDIA ANTIDESLIZANTE BLANCO"
"CAÑA NEGRA","", "CAÑA NEGRA"
"CAÑA BLANCA","", "CAÑA BLANCA"
"CAÑA","", "CAÑA AZUL FRANCIA"
"SHORT","", "SHORT NEGRO S"
"SHORT XL SHORT","", "SHORT AZUL MARINO XL SHORT AZUL MARINO XXL"
"MAQUINA PATILLERA","", "MAQUINA PATILLERA"
"Estructuras Roll Up Fuerte","", "Estructuras Roll Up Fuerte 80x200 cm Estructuras Roll Up común de aluminio 80x200 cm Backing Pop Up (Soporte para Tela) Palo de Bandera para Auto CAJAS Auriculares Gorras de invierno"
